grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0.0200625,2.29596774,300.000003,0.849553531,0.295774502,2.09632026e-18,7.22210236e-14,0.147887355,1.33329604e-16,1.6499505e-12,1.1097878e-13,1.4414166e-14,1.24833543e-22,2.88933762e-23,2.17935012e-21,1.03448538e-23,1.25543922e-14,-4.14871093e-16,-9.81117304e-17,-9.15416927e-17,1.51449283e-21,-3.20310676e-16,3.59514645e-22,1.7348497e-18,-5.7552812e-16,4.26252398e-23,2.27412724e-16,3.29839747e-22,8.26404804e-18,1.617662e-18,-6.34942432e-15,3.06138028e-21,7.14403094e-16,-3.02603861e-16,9.61378215e-18,6.65532136e-19,7.31983315e-18,9.38653447e-17,3.12443061e-23,-2.02136366e-16,-6.67047937e-17,5.84218323e-18,-1.07666694e-15,1.46506921e-22,2.61101763e-16,-1.72836535e-16,2.09118479e-22,5.86627839e-18,3.3088502e-16,2.11092305e-18,-1.16015029e-16,0.556338143,7.41910945e-18,1.81493727e-16,-2.29031908e-17,4.27160214e-20,-3.89060396e-16
0.02025,2.29596569,300.00003,0.849554288,0.295773736,3.5294347e-17,8.12857848e-13,0.147887518,2.79544751e-15,2.56728991e-11,1.83069678e-12,2.48714625e-13,2.3374129e-22,5.41022278e-23,4.06896185e-21,1.93739951e-23,1.2706247e-14,-4.14527026e-16,-9.61708354e-17,-9.0916198e-17,2.80586938e-21,-3.18524265e-16,6.72883092e-22,1.55991486e-18,-5.75072616e-16,7.98227743e-23,2.27766204e-16,6.17388072e-22,9.15266655e-18,1.46638898e-18,-6.42503564e-15,5.7062122e-21,7.14827104e-16,-3.02185385e-16,7.87250983e-18,6.42576956e-19,6.32859137e-18,9.40508068e-17,5.85079242e-23,-1.9830588e-16,-6.61841997e-17,6.21602305e-18,-1.0764864e-15,2.74316337e-22,2.61484863e-16,-1.72452978e-16,3.91493297e-22,6.23771156e-18,3.31255226e-16,1.41552011e-18,-1.14100535e-16,0.556338746,7.6115875e-18,1.81937288e-16,-2.24570604e-17,7.57588162e-20,-3.88637171e-16
0.0204375,2.29595335,300.00033,0.849558856,0.295768768,1.02679879e-15,9.36796817e-12,0.147888576,9.99292868e-14,4.06278393e-10,3.11995764e-11,4.30674769e-12,-4.12164386e-21,-9.54053395e-22,-7.17541323e-20,-3.41620006e-22,1.27956575e-14,-4.42714286e-16,-4.23109225e-16,-1.26958223e-16,-4.93145647e-20,-3.97433708e-16,-1.18629536e-20,-1.22975233e-17,-5.96643109e-16,-1.40749432e-21,2.05109068e-16,-1.08846794e-20,-1.90847948e-17,-1.1739005e-17,-6.52136866e-15,-1.00664808e-19,6.96430981e-16,-3.20605566e-16,-2.54694253e-17,-1.20113699e-17,-3.34012261e-17,6.55134218e-17,-1.03158314e-21,-2.15449603e-16,-8.50825869e-17,-1.48148239e-17,-1.10297532e-15,-4.83679371e-21,2.40751584e-16,-1.93007598e-16,-6.90353634e-21,-1.48819535e-17,3.10127421e-16,-2.09650776e-17,-1.61422283e-16,0.556342655,-1.85107491e-17,1.66134861e-16,-3.81865763e-17,-1.31282884e-18,-4.06894762e-16
0.02053125,2.29592555,300.001589,0.849569141,0.295756067,1.74097284e-14,4.74962866e-11,0.147891282,1.82674494e-12,2.71401586e-09,2.21878356e-10,3.11713693e-11,-6.5487998e-22,-1.51731425e-22,-1.13861727e-20,-5.43739394e-23,1.28847009e-14,-4.36164284e-16,-3.53420185e-16,-1.20310107e-16,-8.13169182e-21,-3.85079729e-16,-1.89038967e-21,-7.06872156e-18,-5.92995797e-16,-2.24080139e-22,2.09448738e-16,-1.73261709e-21,-1.61161552e-17,-7.0906337e-18,-6.55630763e-15,-1.58828497e-20,6.99459525e-16,-3.17662392e-16,-2.7126838e-18,-3.10105471e-18,-2.24597929e-17,7.18967582e-17,-1.62689575e-22,4.77651187e-17,-4.72959287e-17,-1.08625807e-17,-1.09535965e-15,-7.70848576e-22,2.44533064e-16,-1.89324445e-16,-1.09954207e-21,-1.09864567e-17,3.14003416e-16,-1.76484605e-17,-1.51841187e-16,0.556352648,-1.29288509e-17,1.68380442e-16,-3.59303748e-17,-2.49350161e-19,-4.03950964e-16
0.020625,2.29584263,300.009055,0.849599827,0.295708535,2.81680963e-13,2.86298652e-10,0.1479014,3.01621978e-11,2.21320394e-08,1.9292079e-09,2.77258937e-10,3.522787e-20,8.15922132e-21,6.08522168e-19,2.92225529e-21,1.31052425e-14,-3.66253887e-16,4.64460466e-16,-1.9262128e-17,4.12210695e-19,-1.71847141e-16,1.01275987e-19,4.50385441e-17,-5.32696068e-16,1.20349539e-20,2.72102195e-16,9.29380271e-20,5.32056119e-17,4.11824753e-17,-6.53767703e-15,8.50105773e-19,7.54059306e-16,-2.63396368e-16,1.72703194e-16,4.72389599e-17,5.87438996e-17,1.42068267e-16,8.84691992e-21,2.51152292e-15,3.67812585e-16,4.94446358e-17,-1.01118839e-15,4.13407194e-20,3.03467679e-16,-1.30907958e-16,5.89962339e-20,4.85091914e-17,3.7342003e-16,4.15143782e-17,-1.4828827e-17,0.55639004,5.3908665e-17,2.1754333e-16,1.3240454e-17,9.91562393e-18,-3.49797272e-16
0.020671875,2.29576284,300.026592,0.849629357,0.295635886,1.97791683e-12,8.76988205e-10,0.14791685,2.1125174e-10,8.57535322e-08,7.79540058e-09,1.15332214e-09,-1.23281925e-19,-2.85705056e-20,-2.11851695e-18,-1.02293637e-20,1.27621631e-14,-5.2993033e-16,-1.39345263e-15,-2.39195706e-16,-1.41386527e-18,-6.10100615e-16,-3.53958078e-19,-6.79967394e-17,-6.60300712e-16,-4.21226901e-20,1.34247745e-16,-3.24900762e-19,-8.69539248e-17,-7.37742403e-17,-6.68103648e-15,-2.95400752e-18,6.38350838e-16,-3.79509587e-16,2.55538696e-16,-1.10746311e-16,-1.43817041e-16,-2.00655708e-17,-3.07029918e-20,1.07263303e-14,1.67277239e-15,-7.55600577e-17,-1.10887487e-15,-1.44663942e-19,1.75765542e-16,-2.57822283e-16,-2.06414038e-19,-8.11585857e-17,2.43643989e-16,-8.85443167e-17,-3.12236973e-16,0.556447169,-9.97357798e-17,1.15673681e-16,-8.80612459e-17,-3.06924016e-17,-4.64902837e-16
0.02071875,2.29572073,300.087373,0.849644938,0.295463626,1.30391361e-11,3.02036264e-09,0.147953411,1.3941571e-09,3.84837077e-07,3.66075793e-08,5.6034183e-09,8.61465624e-20,1.99995508e-20,1.46420984e-18,7.18425644e-21,1.30281733e-14,-3.92201546e-16,1.03262095e-16,-6.54341384e-17,9.57475725e-19,-2.59721248e-16,2.46644813e-19,5.58783401e-17,-5.54930277e-16,2.94672154e-20,2.44428837e-16,2.26554877e-19,2.08486933e-17,2.06874565e-17,-6.60482126e-15,2.03301544e-18,7.27965458e-16,-2.90989405e-16,1.51463812e-15,7.62298822e-17,6.56818918e-17,1.23389501e-16,2.27701941e-20,5.39007365e-14,1.01644704e-14,5.38252121e-17,-6.81155198e-16,1.01161497e-19,2.7692654e-16,-1.58189332e-16,1.44185276e-19,2.15235171e-17,3.46092314e-16,1.40675275e-17,-7.58217346e-17,0.556582531,2.58174579e-17,1.91928572e-16,-1.14093969e-17,1.723564e-17,-3.76571872e-16
0.020765625,2.29613084,300.298039,0.849493166,0.295055248,8.62244037e-11,1.08001017e-08,0.148039745,9.16675429e-09,1.78915465e-06,1.76719891e-07,2.81988588e-08,-9.59831416e-21,-2.36696004e-21,-1.18444369e-19,-7.64946229e-22,1.29011835e-14,-3.52349795e-16,5.432002e-16,-4.34300711e-18,-5.40306916e-20,-8.77907498e-17,-2.60791744e-20,1.83675416e-16,-5.0095057e-16,-3.4572572e-21,2.81113658e-16,-2.4932333e-20,6.29767132e-17,4.94946449e-17,-6.59368708e-15,-1.40356233e-19,7.61594665e-16,-2.59618621e-16,5.88173672e-15,2.29623129e-16,1.80996592e-16,1.94571637e-16,5.32578203e-21,2.73492119e-13,5.87581755e-14,2.60846836e-16,8.73881101e-16,-1.17631378e-20,3.12732574e-16,-1.23832578e-16,-1.61461135e-20,5.65622012e-17,3.80617273e-16,4.93352609e-17,5.4108364e-18,0.556902993,6.00580175e-17,2.20811852e-16,1.91254899e-17,5.44656189e-18,-3.44411597e-16
0.0207890625,2.29720925,300.598136,0.849094344,0.29464135,2.82230125e-10,2.23813725e-08,0.148126626,2.93362167e-08,4.43201823e-06,4.4620324e-07,7.39585828e-08,2.65048829e-19,6.16683193e-20,4.56120172e-18,2.23597759e-20,1.27433735e-14,-2.85390704e-16,1.20109208e-15,1.21216637e-16,3.01792541e-18,1.89118393e-16,7.61303132e-19,3.92690684e-16,-3.98684509e-16,9.07967453e-20,3.56578147e-16,7.01855288e-19,1.35181156e-16,1.27914585e-16,-6.52951104e-15,6.35820315e-18,8.41413562e-16,-1.81587104e-16,1.29195887e-14,6.05038489e-16,3.50841792e-16,3.25362742e-16,9.24041529e-20,7.21068176e-13,1.70089119e-13,7.66545052e-16,4.02275052e-15,3.12044146e-19,3.89564909e-16,-4.83832931e-17,4.44743747e-19,1.3154582e-16,4.54788785e-16,1.24185745e-16,1.77279932e-16,0.55722702,1.22919826e-16,3.01921875e-16,1.00439858e-16,6.18324424e-17,-2.66041178e-16
0.0208125,2.30028332,301.267977,0.847959555,0.293944661,9.35516472e-10,4.92471434e-08,0.148271264,9.46958318e-08,1.19397318e-05,1.23219952e-06,2.12524633e-07,5.93494722e-19,1.3826226e-19,9.58043686e-18,5.05541191e-20,1.1422524e-14,-5.89199827e-16,-2.59756612e-15,-2.59822966e-16,6.27245387e-18,-5.4057134e-16,1.68880314e-18,4.92068747e-16,-5.54158068e-16,2.03458731e-19,1.14198796e-16,1.55788295e-18,-1.25720563e-16,-4.68158809e-17,-6.74441628e-15,1.28866729e-17,6.70384577e-16,-3.54088398e-16,2.98593706e-14,1.21246894e-15,2.45319188e-16,2.12530458e-16,2.37314115e-19,2.08571997e-12,5.45981823e-13,2.12612492e-15,1.30926216e-14,7.00518163e-19,1.77231721e-16,-2.60651972e-16,9.97858608e-19,-9.04189287e-17,2.31453665e-16,-9.82872225e-17,-3.32953497e-16,0.557770545,-1.75461302e-16,1.88875154e-16,-1.93738627e-17,7.43194924e-17,-4.37819487e-16
