grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_C,X_CH,X_CH2,X_CH2(S),X_CH3,X_CH4,X_CO,X_CO2,X_HCO,X_CH2O,X_CH2OH,X_CH3O,X_CH3OH,X_C2H,X_C2H2,X_C2H3,X_C2H4,X_C2H5,X_C2H6,X_HCCO,X_CH2CO,X_HCCOH,X_N,X_NH,X_NH2,X_NH3,X_NNH,X_NO,X_NO2,X_N2O,X_HNO,X_CN,X_HCN,X_H2CN,X_HCNN,X_HCNO,X_HOCN,X_HNCO,X_NCO,X_N2,X_AR,X_C3H7,X_C3H8,X_CH2CHO,X_CH3CHO
0.0200625,0.496651217,300.004476,1.19663994,0.000247969199,-1.0312319e-19,9.25737584e-15,0.201484434,1.37678317e-16,7.19216426e-07,1.3889322e-09,5.26622454e-10,-8.36682317e-22,-2.889847e-22,-1.73407271e-20,-2.27441439e-22,3.24713077e-12,2.32160997e-08,1.19701629e-07,2.86774492e-09,-1.07808366e-20,1.36520563e-09,-2.3155961e-21,1.47504484e-14,8.64302182e-11,-2.83395636e-22,2.43802753e-10,-2.14652402e-21,3.76670363e-09,1.40511663e-14,2.71363357e-10,-1.95686183e-20,2.55204368e-11,1.45879556e-14,3.26894859e-16,-3.14163589e-18,1.96184295e-12,2.00076627e-13,-2.70271805e-22,3.61191557e-12,1.8532831e-12,3.9481531e-15,-8.8558682e-14,-9.62578181e-22,2.62892911e-13,-5.01375448e-14,-1.36791203e-21,1.63973518e-14,6.37306424e-17,5.72242712e-14,3.27318319e-15,0.757968512,-1.09798281e-17,5.81968762e-12,0.0402982115,-2.66547991e-19,2.19465365e-12
0.02025,0.496810641,300.023874,1.19625594,0.000522259298,6.23231753e-19,6.98034285e-14,0.201426734,3.82773227e-15,3.62838891e-06,7.53326268e-09,2.87265094e-09,1.63869378e-21,5.65891287e-22,3.4012996e-20,4.45684374e-22,3.95725647e-11,1.17427291e-07,6.49146429e-07,1.97768142e-08,2.19633602e-20,9.49808422e-09,4.54113969e-21,4.08308589e-13,6.11267935e-10,5.55770245e-22,1.59297439e-09,4.20697192e-21,2.5475625e-08,4.52465429e-13,1.95407781e-09,3.8325902e-20,2.02932073e-10,1.16051929e-13,1.86982e-15,6.0742401e-18,7.22002638e-12,1.02996917e-12,5.29876476e-22,1.99508032e-11,1.15578957e-11,2.75454515e-14,-4.11380899e-14,1.88403728e-21,1.63873392e-12,-4.82184912e-14,2.67755413e-21,1.13693102e-13,5.24366853e-16,3.96606499e-13,4.51936021e-15,0.757758166,2.31099151e-17,5.59506882e-11,0.0402883762,5.57733542e-19,1.76051185e-11
0.0204375,0.497273572,300.131584,1.19514231,0.00113056983,1.06028572e-17,5.17729537e-13,0.201293445,1.33289455e-13,1.89432558e-05,4.22469724e-08,1.61950695e-08,-3.39661021e-21,-1.17331138e-21,-6.7665868e-20,-8.49415689e-22,2.31397811e-10,6.14653376e-07,3.64006156e-06,1.4053025e-07,3.04951049e-20,6.80693958e-08,-6.88289485e-21,1.05980065e-11,4.45257239e-09,-1.15308116e-21,1.07334587e-08,-8.58970145e-21,1.77580591e-07,1.41384196e-11,1.4613205e-08,-7.71996407e-20,1.6587651e-09,9.48313787e-13,9.07547014e-15,-1.06649445e-17,2.75510777e-11,5.48914131e-12,-1.09854836e-21,1.12961301e-10,7.52347822e-11,1.96967688e-13,2.27841215e-13,-3.91061146e-21,1.16663532e-11,-3.45069723e-14,-5.55729513e-21,8.10562072e-13,3.47644182e-15,2.82828366e-12,1.24228386e-14,0.757285758,-1.2620579e-16,5.25154429e-10,0.0402665523,6.90518174e-19,1.45132218e-10
0.02053125,0.497943248,300.368936,1.19353499,0.00171231206,1.52353602e-16,1.8322795e-12,0.20115501,1.36627288e-12,5.1074243e-05,1.20151246e-07,4.61395934e-08,-1.05752055e-20,-3.64931571e-21,-1.60546116e-19,-8.08545451e-22,6.42977031e-10,1.66045158e-06,1.03472103e-05,4.78844453e-07,1.68030637e-18,2.33412962e-07,7.59570649e-20,1.08098604e-10,1.54700736e-08,-3.59504812e-21,3.50870702e-08,-2.28137175e-20,5.95948497e-07,1.68099917e-10,5.18911739e-08,-2.09741988e-19,6.31832925e-09,3.61233849e-12,2.35426143e-14,3.71863259e-17,5.95623464e-11,1.50250176e-11,-3.41654372e-21,3.23553233e-10,2.39233086e-10,6.75287755e-13,8.34492752e-13,-1.21869055e-20,4.03153269e-11,5.22059915e-15,-1.73105859e-20,2.76968455e-12,1.20460618e-14,9.66385482e-12,3.5016794e-14,0.756822368,-2.00957169e-16,2.21595792e-09,0.0402456404,1.81317489e-17,5.56615773e-10
0.020578125,0.498679832,300.689261,1.19177206,0.00213572371,8.54578105e-16,3.76051539e-12,0.201042256,6.32419466e-12,9.27841022e-05,2.26928126e-07,8.71717201e-08,4.60019352e-20,1.58400297e-20,1.37712811e-18,3.00326144e-20,1.19554455e-09,3.02096533e-06,1.95396727e-05,1.03701542e-06,1.65682474e-17,5.07821918e-07,1.35202562e-18,4.52887313e-10,3.40120923e-08,1.55633741e-20,7.35967825e-08,1.61336296e-19,1.27529428e-06,7.70498298e-10,1.16059655e-07,1.32672762e-18,1.4934319e-08,8.53859363e-12,4.1011523e-14,4.63331681e-16,9.27497564e-11,2.75985661e-11,1.48395258e-20,6.15005204e-10,4.90738698e-10,1.46942705e-12,1.66979175e-12,5.27329396e-20,8.83710765e-11,7.2517066e-14,7.51311847e-20,6.01123173e-12,2.64334162e-14,2.09734228e-11,7.26748623e-14,0.75647295,-9.70623719e-17,5.67858502e-09,0.0402303414,1.098532e-16,1.32283793e-09
0.020625,0.500086082,301.37105,1.18842079,0.00268729197,5.16742819e-15,7.88239201e-12,0.200873896,3.37093922e-11,0.000178761403,4.5716976e-07,1.7561332e-07,-3.6899219e-20,-1.24436524e-20,3.2594076e-18,1.75901195e-19,2.37760296e-09,5.83118125e-06,3.9380132e-05,2.44912698e-06,1.87833813e-16,1.20535708e-06,1.82019794e-17,1.85264286e-09,8.17328671e-08,-1.19921084e-20,1.67508168e-07,4.54104008e-19,2.97002171e-06,3.37267673e-09,2.84504306e-07,1.8965905e-18,3.90146283e-08,2.23060892e-11,7.34914971e-14,1.97767098e-15,1.49629512e-10,5.38613834e-11,-1.17718259e-20,1.24992762e-09,1.08761276e-09,3.48845691e-12,3.47886325e-12,-4.09981232e-20,2.1169108e-10,2.45659165e-13,-5.93659505e-20,1.42314109e-11,6.23136644e-14,4.96546641e-11,1.66405271e-13,0.755996792,-4.77550107e-16,1.62687196e-08,0.0402101866,4.82306171e-16,3.4775614e-09
0.020671875,0.502860865,302.817357,1.18186311,0.00340463198,3.55653962e-14,1.68250102e-11,0.200609442,1.91563439e-10,0.000355495514,9.51972595e-07,3.64966043e-07,4.25774677e-20,1.43391738e-20,4.60129886e-17,2.22182446e-18,4.9799846e-09,1.16224477e-05,8.21064618e-05,6.01226396e-06,2.56118105e-15,2.97192704e-06,3.02696278e-16,7.53621845e-09,2.04197728e-07,1.37534028e-20,3.95941214e-07,7.85080513e-18,7.18436107e-06,1.44274316e-08,7.25501449e-07,3.94326693e-17,1.06121157e-07,6.06735825e-11,1.35366636e-13,1.0976595e-14,2.46922669e-10,1.08570471e-10,1.37421009e-20,2.63549931e-09,2.49469177e-09,8.61030634e-12,7.39022506e-12,4.76849014e-20,5.27236215e-10,6.9195339e-13,6.87472585e-20,3.50245778e-11,1.5355756e-13,1.22203424e-10,4.03815023e-13,0.75533443,-8.29955969e-16,4.83637642e-08,0.0401832628,2.85459329e-15,9.51944088e-09
0.02071875,0.50844587,305.866722,1.16888101,0.00433440679,2.70562351e-13,3.69402122e-11,0.200170858,1.07674187e-09,0.000716710085,2.00967779e-06,7.64688602e-07,-7.39047397e-19,-2.56634229e-19,5.23923931e-16,2.73397038e-17,1.10445403e-08,2.3500579e-05,0.000173694115,1.49548026e-05,3.54742554e-14,7.41244475e-06,4.93094173e-15,3.03968351e-08,5.16629237e-07,-2.56140644e-19,9.48691953e-07,1.11297825e-16,1.75979742e-05,5.96771382e-08,1.87376991e-06,5.62283425e-16,2.92027435e-07,1.66963133e-10,2.51391831e-13,5.82938908e-14,4.12657706e-10,2.21897949e-10,-2.36755099e-19,5.670575e-09,5.76708515e-09,2.15321826e-11,1.58044183e-11,-8.6303624e-19,1.3298234e-09,1.83391436e-12,-1.21611504e-18,8.733929e-11,3.82561959e-13,3.04734174e-10,9.98012591e-13,0.754388014,-2.17331712e-15,1.44039238e-07,0.0401461598,1.90448918e-14,2.63607098e-08
0.0207421875,0.513402286,308.641631,1.15759658,0.00490057162,9.03336692e-13,5.7951905e-11,0.199828575,2.81722726e-09,0.00103672841,2.98647144e-06,1.12317019e-06,1.09838852e-18,3.84797789e-19,2.24608057e-15,1.15834575e-16,1.76974128e-08,3.4068054e-05,0.000258349104,2.44338156e-05,1.51313695e-13,1.21093587e-05,2.29781667e-14,6.72285095e-08,8.52427556e-07,3.84485411e-19,1.51616867e-06,5.0906389e-16,2.84703257e-05,1.31063879e-07,3.13109748e-06,2.69670387e-15,5.07010951e-07,2.89880697e-10,3.51439047e-13,1.6182305e-13,5.38705701e-10,3.23485895e-10,3.50956177e-19,8.57120888e-09,8.96500482e-09,3.52970081e-11,2.36068348e-11,1.29587774e-18,2.19007858e-09,3.06850349e-12,1.81794184e-18,1.42919881e-10,6.29383135e-13,4.98650268e-10,1.6360276e-12,0.753744984,1.04653554e-16,2.60856979e-07,0.0401210472,6.50659784e-14,4.59433258e-08
0.020765625,0.520918212,312.904367,1.14089453,0.00554628486,3.17238195e-12,9.38786356e-11,0.199347733,7.36331991e-09,0.00151802929,4.50656787e-06,1.6656719e-06,2.88460647e-18,1.0239934e-18,9.6362738e-15,5.08614644e-16,2.97014495e-08,5.00332855e-05,0.000390151724,4.08803547e-05,6.59833218e-13,2.02339007e-05,1.09661718e-13,1.49379852e-07,1.44124701e-06,1.06423997e-18,2.47590871e-06,2.38328007e-15,4.70989518e-05,2.87274676e-07,5.37063157e-06,1.28539209e-14,9.07169711e-07,5.18669136e-10,4.91184371e-13,4.13826297e-13,7.07684995e-10,4.77703404e-10,9.26475688e-19,1.32230444e-08,1.41496047e-08,5.92674909e-11,3.57761487e-11,3.52657471e-18,3.6950025e-09,5.23533491e-12,4.84193303e-18,2.3952967e-10,1.05498358e-12,8.35720286e-10,2.73521951e-12,0.752933895,2.59123777e-16,4.87702555e-07,0.0400882142,2.51720831e-13,8.25583137e-08
